industry,sector
"Apparel, Accessories & Footwear",Consumer Goods
Appliance Manufacturing,Consumer Goods
Building Products & Furnishings,Consumer Goods
E-Commerce,Consumer Goods
Household & Personal Products,Consumer Goods
Multiline and Specialty Retailers & Distributors,Consumer Goods
Toys & Sporting Goods,Consumer Goods
Coal Operations,Extractives & Mineral Processing
Construction Materials,Extractives & Mineral Processing
Iron & Steel Producers,Extractives & Mineral Processing
Metals & Mining,Extractives & Mineral Processing
Oil & Gas – Exploration & Production,Extractives & Mineral Processing
Oil & Gas – Midstream,Extractives & Mineral Processing
Oil & Gas – Refining & Marketing,Extractives & Mineral Processing
Oil & Gas – Services,Extractives & Mineral Processing
Asset Management & Custody Activities,Financials
Commercial Banks,Financials
Consumer Finance,Financials
Insurance,Financials
Investment Banking & Brokerage,Financials
Mortgage Finance,Financials
Security & Commodity Exchange,Financials
Agricultural Products,Food & Beverage
Alcoholic Beverages,Food & Beverage
Food Retailers & Distributors,Food & Beverage
"Meat, Poultry & Dairy",Food & Beverage
Non-Alcoholic Beverages,Food & Beverage
Processed Foods,Food & Beverage
Restaurants,Food & Beverage
Tobacco,Food & Beverage
Biotechnology & Pharmaceuticals,Health Care
Drug Retailers,Health Care
Health Care Delivery,Health Care
Health Care Distributors,Health Care
Managed Care,Health Care
Medical Equipment & Supplies,Health Care
Electric Utilities & Power Generators,Infrastructure
Engineering & Construction Services,Infrastructure
Gas Utilities & Distributors,Infrastructure
Home Builders,Infrastructure
Real Estate,Infrastructure
Real Estate Services,Infrastructure
Waste Management,Infrastructure
Water Utilities & Services,Infrastructure
Biofuels,Renewable Resources & Alternative Energy
Forestry Management,Renewable Resources & Alternative Energy
Fuel Cells & Industrial Batteries,Renewable Resources & Alternative Energy
Pulp & Paper Products,Renewable Resources & Alternative Energy
Solar Technology & Project Developers,Renewable Resources & Alternative Energy
Wind Technology & Project Developers,Renewable Resources & Alternative Energy
Aerospace & Defence,Resource Transformation
Chemicals,Resource Transformation
Containers & Packaging,Resource Transformation
Electrical & Electronic Equipment,Resource Transformation
Industrial Machinery & Goods,Resource Transformation
Advertising & Marketing,Services
Casinos & Gaming,Services
Education,Services
Hotels & Lodging,Services
Leisure Facilities,Services
Media & Entertainment,Services
Professional & Commercial Services,Services
Electronic Manufacturing Services & Original Design Manufacturing,Technology & Communications
Hardware,Technology & Communications
Internet Media & Services,Technology & Communications
Semiconductors,Technology & Communications
Software & IT Services,Technology & Communications
Telecommunication Services,Technology & Communications
Air Freight & Logistics,Transportation
Airlines,Transportation
Auto Parts,Transportation
Automobiles,Transportation
Car Rental & Leasing,Transportation
Cruise Lines,Transportation
Marine Transportation,Transportation
Rail Transportation,Transportation
Road Transportation,Transportation